0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"Berkeley,SC",0,0,0,0,0.3867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0.522,0,0,0,0,0,0,0,0,0,0,0.7788,0,0,0
"Berkeley,WV",0,0,1.1618,0,0.6377,0.0351,0,2.9512,0,0,0.1827,0,1,0,8.7279,0,0,0,0.0052,4.7183,1,1,0,0,0.38670.4966,2.7217,15.3011,2.7183,0,1,1,1,0,0,0.6065,0,2.8407,0,0,0.3679,0,2.7183,0,11
"Berks,PA",0.8607,19.7723,8.1406,0,0,0.0302,0,0.000300.81870,00.951270.1630,10,0.0051,102.005,68.4035,0.0017,2.9414,0,0.0158,0,0.3779,0.002007.2638,0.0020017.2119,2.7183,0,0.783800.57690,0.2725,0,2.92026.45100,0,0.0075,0,0,0,1,0,0,0,000.99410.0014,0,0.1496,2.7183,1.4068,0,0,2.7183
"Berrien,MI",5.3719,7.2671,10.8644,1.3112,1.2725,0,1,0.0543,485.9334,1.9639,1.9689,0.40660.02357.5324,0.7742,13.1243,3.5886,0.6376,0,4.1249,2.4117,0,1.2146,0,3.1457,0.0433,3.4542,0,1,0,6.2093,3.4591,2.7183,0,2,5.036400.015,0.19200.8235,2.7612,6.5788,0,0.6376,0,0.8378,1.0524,0,00.47244.5634
"Boone,MO",0,0,0.045,0,0,0,0,0.4966,0,0,0,0,0.81873.7119,0,46.9854,0.0015,0,0,1,0.4966,0.3867,0,0,49.5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3679,0,0.6065,0
"Bottineau,ND",0,0,0.6065,0,1,0,0,0.8187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7408,1.8187,0.7408,0,0,0,0,0,0,0,0
"Boulder,CO",0,1.3867,0.3757,0.4966,0,0,0,0.3499,0,3.0862,0,0.8187,0,0,0.0388,0,0,0,0,0,0,0,0,0,50.0999,0,0,2.7183,0,1.3828,0,0,0,0,0,0,0,0,0,0.9512,0,0,2.7183,2.7183
"Box Elder,UT",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.522,0.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bristol,MA",0,0,2.7183,0.6065,0,0,0,0,0,0,0.0237,0.3166,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6838,0,1.6703,0,0,0,0,0,0,0.0743,0,0,0,0,0.0001,1,0
"Broward,FL",0.0087,0,0,0,0.7788,0,0,0,0,0,0,3.7183,0.9412,0,0,0.8187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8607,2.7183,0,0,0,0,0,0.0082,0,0,0,0,0
"Bucks,PA",4.6231,2.6748,02.71830127.7870.0074,0.7422,0.95120002.71830,4.1483,1.8063,6.5575,0.9048,2.7183005.92536.94790,0.5220006.44030,00.44931012.42040,3.0513,0004.29526.57370,5.4371,00.0004004.17040,3.6231,5.4561,0.04290005.35310,003.034900.56940,4.0349,07.3335001.04080,011.8324003.71830,0.30120000.14380,9.4023,0.60650001.67030,100000,0.7788,0.5769,8.065,2.7183,3.7183,3.7183,0000182.86241.1321,0000.3381200.92083.423,0000.6703122.99464.4882,112.3143,0.0523,3.7183,0008.37142.58850,3.3248,0.4066,0.0743,0.25920000.54880
"Burleson,TX",0,0,1.4939,0,2.7183,0.6703,180.4564,0,0,3.7183,0,0,0,0.6703,0,5.4366,0.0045,0,2.7183,0,0,0,0,0,2.7183,0,0,0,0,2.7183,0,0,0,0,0,0,1.7753,0,0,0,0,0,0,0
"Burlington,NJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3024,0,0,0,0,0,0,0.0639,0,0.0026,0,0
"Butler,KS",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Butler,OH",0,0,12.7183,0,2.7183,0,0,0.9048,0,0,19.281,2.7183,0,1.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3461,0.0608,0,0,0,2.4418,0,0.8338,0,0.3329,0,0,0,0,14.9305,0.9048
"Butler,PA",0,0,6.4366,0,0,0,2.7183,0,0,0,3.2302,0.95125.5459,0,0,0,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6194,12.9035,5.5321,0.3329,0,0,0,0,0.0096,7.9422,0
"Cache,UT",0,0,0.8607,0,0,0,0,0,0,0,0,0,0,0,0.1496,0,41.4127,0,0,0.0143,0,0,0,0,0.9512,2.3558,0.496623.128,1,0,0,0.3329,0,0,0,0,2.7183,1,2.7183,2.7183,0,0.6519,0,0,0.1423
